,id,block_id,industry,landuse,population_availability,workers_availability,employment_share,company_id,departure_time,vehicle_type,tour_purpose,time_of_day,industry_numeric,landuse_numeric,vehicle_purpose,geometry,num_stops,stops
10,10,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 10:22:00,2,0,0,0,3,6,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",6,"""[{\""purpose\"": 0, \""zone_id\"": 1550, \""duration\"": 5, \""time_spent\"": 13.411333333333332}, {\""purpose\"": 0, \""zone_id\"": 1879, \""duration\"": 21, \""time_spent\"": 39.1245}, {\""purpose\"": 1, \""zone_id\"": 1283, \""duration\"": 19, \""time_spent\"": 64.73116666666667}, {\""purpose\"": 0, \""zone_id\"": 733, \""duration\"": 36, \""time_spent\"": 105.96266666666668}, {\""purpose\"": 0, \""zone_id\"": 770, \""duration\"": 19, \""time_spent\"": 127.57150000000001}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 13, \""time_spent\"": 150.52316666666667}]"""
11,11,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:10:00,1,0,0,0,3,3,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",5,"""[{\""purpose\"": 0, \""zone_id\"": 943, \""duration\"": 21, \""time_spent\"": 42.25733333333333}, {\""purpose\"": 1, \""zone_id\"": 1188, \""duration\"": 21, \""time_spent\"": 85.56816666666666}, {\""purpose\"": 0, \""zone_id\"": 1884, \""duration\"": 20, \""time_spent\"": 116.03149999999998}, {\""purpose\"": 0, \""zone_id\"": 402, \""duration\"": 12, \""time_spent\"": 130.54433333333333}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 1, \""time_spent\"": 134.59716666666665}]"""
12,12,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:10:00,2,0,1,0,3,6,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",3,"""[{\""purpose\"": 0, \""zone_id\"": 477, \""duration\"": 30, \""time_spent\"": 38.0275}, {\""purpose\"": 1, \""zone_id\"": 752, \""duration\"": 24, \""time_spent\"": 86.39483333333335}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 40, \""time_spent\"": 157.30233333333337}]"""
13,13,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:23:00,1,0,0,0,3,3,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",8,"""[{\""purpose\"": 0, \""zone_id\"": 1459, \""duration\"": 21, \""time_spent\"": 25.577333333333335}, {\""purpose\"": 0, \""zone_id\"": 578, \""duration\"": 13, \""time_spent\"": 70.80766666666668}, {\""purpose\"": 0, \""zone_id\"": 724, \""duration\"": 20, \""time_spent\"": 116.22966666666669}, {\""purpose\"": 0, \""zone_id\"": 475, \""duration\"": 13, \""time_spent\"": 130.62300000000002}, {\""purpose\"": 0, \""zone_id\"": 85, \""duration\"": 0, \""time_spent\"": 136.70233333333334}, {\""purpose\"": 0, \""zone_id\"": 52, \""duration\"": 28, \""time_spent\"": 174.419}, {\""purpose\"": 1, \""zone_id\"": 631, \""duration\"": 21, \""time_spent\"": 215.6415}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 22, \""time_spent\"": 247.0735}]"""
14,14,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 13:52:00,2,0,1,0,3,6,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",4,"""[{\""purpose\"": 1, \""zone_id\"": 402, \""duration\"": 19, \""time_spent\"": 21.512833333333333}, {\""purpose\"": 0, \""zone_id\"": 336, \""duration\"": 25, \""time_spent\"": 57.4705}, {\""purpose\"": 0, \""zone_id\"": 280, \""duration\"": 30, \""time_spent\"": 99.47033333333334}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 14, \""time_spent\"": 127.08333333333334}]"""
15,15,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:35:00,0,1,1,0,3,1,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",3,"""[{\""purpose\"": 0, \""zone_id\"": 647, \""duration\"": 33, \""time_spent\"": 56.95233333333334}, {\""purpose\"": 1, \""zone_id\"": 341, \""duration\"": 17, \""time_spent\"": 96.09166666666668}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 9, \""time_spent\"": 111.88450000000002}]"""
16,16,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 17:39:00,0,2,1,0,3,2,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",3,"""[{\""purpose\"": 0, \""zone_id\"": 951, \""duration\"": 4, \""time_spent\"": 32.85616666666667}, {\""purpose\"": 1, \""zone_id\"": 2620, \""duration\"": 26, \""time_spent\"": 105.70416666666662}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 38, \""time_spent\"": 165.68516666666665}]"""
17,17,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 13:23:00,1,1,1,0,3,4,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",4,"""[{\""purpose\"": 1, \""zone_id\"": 652, \""duration\"": 23, \""time_spent\"": 24.978666666666665}, {\""purpose\"": 0, \""zone_id\"": 1037, \""duration\"": 18, \""time_spent\"": 60.26349999999999}, {\""purpose\"": 0, \""zone_id\"": 629, \""duration\"": 38, \""time_spent\"": 123.4515}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 22, \""time_spent\"": 153.66916666666665}]"""
18,18,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:02:00,0,2,1,0,3,2,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",5,"""[{\""purpose\"": 0, \""zone_id\"": 1883, \""duration\"": 12, \""time_spent\"": 14.176666666666666}, {\""purpose\"": 0, \""zone_id\"": 2261, \""duration\"": 22, \""time_spent\"": 43.82633333333334}, {\""purpose\"": 0, \""zone_id\"": 576, \""duration\"": 12, \""time_spent\"": 79.52733333333333}, {\""purpose\"": 1, \""zone_id\"": 1884, \""duration\"": 30, \""time_spent\"": 137.552}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 27, \""time_spent\"": 165.09433333333334}]"""
19,19,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:21:00,1,0,0,0,3,3,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",6,"""[{\""purpose\"": 0, \""zone_id\"": 378, \""duration\"": 3, \""time_spent\"": 6.7265000000000015}, {\""purpose\"": 1, \""zone_id\"": 377, \""duration\"": 20, \""time_spent\"": 30.793333333333337}, {\""purpose\"": 0, \""zone_id\"": 55, \""duration\"": 10, \""time_spent\"": 56.61800000000001}, {\""purpose\"": 0, \""zone_id\"": 1105, \""duration\"": 24, \""time_spent\"": 88.74100000000001}, {\""purpose\"": 0, \""zone_id\"": 1088, \""duration\"": 1, \""time_spent\"": 94.54350000000001}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 18, \""time_spent\"": 121.25800000000001}]"""
20,20,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 15:52:00,0,0,1,0,3,0,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",4,"""[{\""purpose\"": 1, \""zone_id\"": 410, \""duration\"": 0, \""time_spent\"": 9.995999999999999}, {\""purpose\"": 0, \""zone_id\"": 584, \""duration\"": 18, \""time_spent\"": 54.60033333333334}, {\""purpose\"": 1, \""zone_id\"": 634, \""duration\"": 22, \""time_spent\"": 100.657}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 15, \""time_spent\"": 121.90983333333332}]"""
21,21,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 15:01:00,1,0,1,0,3,3,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",4,"""[{\""purpose\"": 0, \""zone_id\"": 378, \""duration\"": 17, \""time_spent\"": 20.7265}, {\""purpose\"": 1, \""zone_id\"": 541, \""duration\"": 27, \""time_spent\"": 55.81216666666667}, {\""purpose\"": 0, \""zone_id\"": 1884, \""duration\"": 27, \""time_spent\"": 94.441}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 11, \""time_spent\"": 105.98333333333333}]"""
22,22,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 12:23:00,0,0,1,0,3,0,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",6,"""[{\""purpose\"": 1, \""zone_id\"": 1884, \""duration\"": 25, \""time_spent\"": 25.542333333333332}, {\""purpose\"": 0, \""zone_id\"": 1489, \""duration\"": 25, \""time_spent\"": 65.75366666666667}, {\""purpose\"": 0, \""zone_id\"": 393, \""duration\"": 25, \""time_spent\"": 104.35450000000002}, {\""purpose\"": 0, \""zone_id\"": 561, \""duration\"": 23, \""time_spent\"": 129.06733333333335}, {\""purpose\"": 0, \""zone_id\"": 1550, \""duration\"": 17, \""time_spent\"": 154.60583333333335}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 16, \""time_spent\"": 178.46233333333333}]"""
23,23,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 13:43:00,0,0,1,0,3,0,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",6,"""[{\""purpose\"": 0, \""zone_id\"": 1884, \""duration\"": 17, \""time_spent\"": 17.542333333333332}, {\""purpose\"": 0, \""zone_id\"": 643, \""duration\"": 32, \""time_spent\"": 57.05866666666667}, {\""purpose\"": 1, \""zone_id\"": 410, \""duration\"": 0, \""time_spent\"": 62.163333333333334}, {\""purpose\"": 0, \""zone_id\"": 2242, \""duration\"": 28, \""time_spent\"": 109.27866666666665}, {\""purpose\"": 0, \""zone_id\"": 906, \""duration\"": 19, \""time_spent\"": 179.33516666666668}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 31, \""time_spent\"": 250.06466666666668}]"""
24,24,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:29:00,0,1,1,0,3,1,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",4,"""[{\""purpose\"": 1, \""zone_id\"": 654, \""duration\"": 24, \""time_spent\"": 33.295833333333334}, {\""purpose\"": 1, \""zone_id\"": 562, \""duration\"": 31, \""time_spent\"": 73.70183333333333}, {\""purpose\"": 0, \""zone_id\"": 1220, \""duration\"": 8, \""time_spent\"": 91.43433333333333}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 27, \""time_spent\"": 132.05583333333334}]"""
25,25,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:37:00,2,0,0,0,3,6,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",5,"""[{\""purpose\"": 1, \""zone_id\"": 129, \""duration\"": 11, \""time_spent\"": 23.007333333333328}, {\""purpose\"": 0, \""zone_id\"": 55, \""duration\"": 19, \""time_spent\"": 54.55199999999999}, {\""purpose\"": 0, \""zone_id\"": 2683, \""duration\"": 23, \""time_spent\"": 94.50716666666665}, {\""purpose\"": 0, \""zone_id\"": 1883, \""duration\"": 6, \""time_spent\"": 117.13799999999998}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 9, \""time_spent\"": 126.68033333333331}]"""
26,26,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 12:01:00,0,1,1,0,3,1,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",7,"""[{\""purpose\"": 1, \""zone_id\"": 1079, \""duration\"": 12, \""time_spent\"": 16.658166666666666}, {\""purpose\"": 0, \""zone_id\"": 548, \""duration\"": 16, \""time_spent\"": 38.02633333333333}, {\""purpose\"": 1, \""zone_id\"": 724, \""duration\"": 30, \""time_spent\"": 78.29083333333335}, {\""purpose\"": 0, \""zone_id\"": 413, \""duration\"": 24, \""time_spent\"": 105.67883333333336}, {\""purpose\"": 0, \""zone_id\"": 687, \""duration\"": 12, \""time_spent\"": 134.7601666666667}, {\""purpose\"": 0, \""zone_id\"": 1335, \""duration\"": 14, \""time_spent\"": 157.62}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 18, \""time_spent\"": 180.14033333333333}]"""
27,27,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:59:00,0,0,1,0,3,0,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",2,"""[{\""purpose\"": 1, \""zone_id\"": 640, \""duration\"": 21, \""time_spent\"": 27.433166666666665}, {\""purpose\"": 1, \""zone_id\"": 402, \""duration\"": 10, \""time_spent\"": 43.80983333333333}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 31, \""time_spent\"": 77.86266666666666}]"""
28,28,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:20:00,1,0,0,0,3,3,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",7,"""[{\""purpose\"": 0, \""zone_id\"": 254, \""duration\"": 27, \""time_spent\"": 34.34216666666667}, {\""purpose\"": 1, \""zone_id\"": 1550, \""duration\"": 24, \""time_spent\"": 63.11216666666667}, {\""purpose\"": 0, \""zone_id\"": 655, \""duration\"": 31, \""time_spent\"": 95.00833333333333}, {\""purpose\"": 0, \""zone_id\"": 476, \""duration\"": 17, \""time_spent\"": 114.31516666666666}, {\""purpose\"": 1, \""zone_id\"": 631, \""duration\"": 4, \""time_spent\"": 134.50033333333332}, {\""purpose\"": 0, \""zone_id\"": 1884, \""duration\"": 15, \""time_spent\"": 158.9323333333333}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 9, \""time_spent\"": 168.47466666666665}]"""
29,29,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:32:00,1,0,1,0,3,3,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",5,"""[{\""purpose\"": 1, \""zone_id\"": 978, \""duration\"": 14, \""time_spent\"": 35.325}, {\""purpose\"": 0, \""zone_id\"": 297, \""duration\"": 24, \""time_spent\"": 94.3523333333333}, {\""purpose\"": 1, \""zone_id\"": 1883, \""duration\"": 21, \""time_spent\"": 134.4288333333333}, {\""purpose\"": 0, \""zone_id\"": 543, \""duration\"": 5, \""time_spent\"": 150.6328333333333}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 19, \""time_spent\"": 181.06883333333332}]"""
30,30,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:11:00,0,0,0,0,3,0,"MULTIPOLYGON (((56.1593721 58.0091175, 56.1597154 58.009145899999986, 56.1604021 58.0073952, 56.1599193 58.0073497, 56.1593506 58.0088787, 56.1594687 58.0088958, 56.1593721 58.0091175)))",2,"""[{\""purpose\"": 1, \""zone_id\"": 99, \""duration\"": 12, \""time_spent\"": 18.655833333333334}, {\""purpose\"": 2, \""zone_id\"": 1884, \""duration\"": 21, \""time_spent\"": 46.283833333333334}]"""
