,id,block_id,industry,landuse,population_availability,workers_availability,employment_share,company_id,departure_time,vehicle_type,tour_purpose,time_of_day,industry_numeric,landuse_numeric,vehicle_purpose,num_stops,stops,geometry
20,20,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 15:52:00,0,0,1,0,3,0,7,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
21,21,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 15:01:00,1,0,1,0,3,3,4,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
22,22,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 12:23:00,0,0,1,0,3,0,6,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
23,23,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 13:43:00,0,0,1,0,3,0,5,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
24,24,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 14:29:00,0,1,1,0,3,1,2,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
25,25,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:37:00,2,0,0,0,3,6,4,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
26,26,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 12:01:00,0,1,1,0,3,1,5,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
27,27,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:59:00,0,0,1,0,3,0,3,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
28,28,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:20:00,1,0,0,0,3,3,3,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
29,29,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:32:00,1,0,1,0,3,3,7,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
30,30,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:11:00,0,0,0,0,3,0,5,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
31,31,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 08:57:00,0,1,0,0,3,1,4,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
32,32,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 09:21:00,0,0,0,0,3,0,6,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
33,33,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 16:43:00,2,0,1,0,3,6,3,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
34,34,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 12:24:00,0,0,1,0,3,0,3,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
35,35,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 16:48:00,0,0,1,0,3,0,4,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
36,36,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 11:26:00,0,0,1,0,3,0,4,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
37,37,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 10:58:00,0,0,0,0,3,0,4,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
38,38,1884,industrial,industrial,5.604109786227794,2.824704775097415,0.9440833333333334,698090257,1900-01-01 12:41:00,2,2,1,0,3,8,3,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.1598445572003 58.00821443288789)
39,39,274,industrial,industrial,4.4412044401990505,2.3923398595857837,0.9412917677804742,710506739,1900-01-01 11:27:00,0,0,1,0,3,0,6,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.13597324551752 57.92218299032593)
40,40,274,industrial,industrial,4.4412044401990505,2.3923398595857837,0.9412917677804742,710506739,1900-01-01 09:59:00,0,1,0,0,3,1,4,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.13597324551752 57.92218299032593)
41,41,752,industrial,industrial,4.710777620909262,2.3839662387439455,0.8886738906088751,1099979600,1900-01-01 13:15:00,0,0,1,0,3,0,6,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.34540328081952 58.08641787934641)
42,42,410,service,residential,6.304679253497062,2.8037037054388696,0.8974854932301741,2194005,1900-01-01 10:14:00,0,0,0,2,1,0,6,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.24011370757873 57.98784027151693)
43,43,410,service,residential,6.304679253497062,2.8037037054388696,0.8974854932301741,2194005,1900-01-01 13:46:00,0,2,1,2,1,2,4,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.24011370757873 57.98784027151693)
44,44,410,service,residential,6.304679253497062,2.8037037054388696,0.8974854932301741,2194005,1900-01-01 13:50:00,0,0,1,2,1,0,4,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.24011370757873 57.98784027151693)
45,45,410,service,residential,6.304679253497062,2.8037037054388696,0.8974854932301741,2194005,1900-01-01 09:43:00,0,0,0,2,1,0,3,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.24011370757873 57.98784027151693)
46,46,410,service,residential,6.304679253497062,2.8037037054388696,0.8974854932301741,2194005,1900-01-01 09:54:00,0,0,0,2,1,0,3,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.24011370757873 57.98784027151693)
47,47,410,service,residential,6.304679253497062,2.8037037054388696,0.8974854932301741,2194005,1900-01-01 14:51:00,0,1,1,2,1,1,7,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.24011370757873 57.98784027151693)
48,48,2259,industrial,industrial,5.739754756381471,2.6851389421792873,0.9410989010989012,11145616,1900-01-01 11:56:00,1,0,1,0,3,3,4,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.196444734732324 58.013234677887034)
49,49,253,retail,commercial,6.480717915715578,2.8334799144403253,0.5361930294906166,14275922,1900-01-01 09:02:00,0,2,0,1,2,2,8,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.22936684999999 58.00179269999998)
50,50,253,retail,commercial,6.480717915715578,2.8334799144403253,0.5361930294906166,14275922,1900-01-01 18:36:00,0,1,2,1,2,1,3,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.22936684999999 58.00179269999998)
51,51,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 09:50:00,0,0,0,2,2,0,5,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
52,52,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 13:06:00,0,0,1,2,2,0,4,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
53,53,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 17:20:00,0,0,1,2,2,0,3,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
54,54,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 10:08:00,0,0,0,2,2,0,5,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
55,55,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 09:38:00,0,1,0,2,2,1,5,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
56,56,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 09:17:00,0,1,0,2,2,1,6,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
57,57,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 10:03:00,0,0,0,2,2,0,7,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
58,58,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 09:24:00,0,1,0,2,2,1,5,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
59,59,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 13:59:00,0,0,1,2,2,0,3,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
60,60,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 09:13:00,0,0,0,2,2,0,3,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
61,61,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 12:49:00,0,1,1,2,2,1,2,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
62,62,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 19:57:00,0,0,2,2,2,0,7,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
63,63,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 14:08:00,0,0,1,2,2,0,5,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
64,64,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 13:25:00,0,0,1,2,2,0,4,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
65,65,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 10:52:00,0,0,0,2,2,0,5,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
66,66,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 13:01:00,0,1,1,2,2,1,7,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
67,67,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 12:19:00,0,2,1,2,2,2,5,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
68,68,1338,service,commercial,6.008010260625953,2.6883229571118026,1.0,24268029,1900-01-01 11:27:00,0,0,1,2,2,0,4,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.27597733523134 58.020748128451224)
69,69,104,retail,commercial,5.9240194454456185,2.671400979391473,0.5942028985507246,25108222,1900-01-01 09:46:00,2,0,0,1,2,6,5,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.30226497256148 58.02946683928451)
70,70,104,retail,commercial,5.9240194454456185,2.671400979391473,0.5942028985507246,25108222,1900-01-01 15:59:00,0,1,1,1,2,1,5,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.30226497256148 58.02946683928451)
71,71,104,retail,commercial,5.9240194454456185,2.671400979391473,0.5942028985507246,25108222,1900-01-01 11:06:00,0,2,1,1,2,2,7,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.30226497256148 58.02946683928451)
72,72,104,retail,commercial,5.9240194454456185,2.671400979391473,0.5942028985507246,25108222,1900-01-01 10:43:00,0,0,0,1,2,0,6,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.30226497256148 58.02946683928451)
73,73,104,retail,commercial,5.9240194454456185,2.671400979391473,0.5942028985507246,25108222,1900-01-01 11:07:00,0,0,1,1,2,0,5,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.30226497256148 58.02946683928451)
74,74,104,retail,commercial,5.9240194454456185,2.671400979391473,0.5942028985507246,25108222,1900-01-01 11:46:00,1,1,1,1,2,4,4,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.30226497256148 58.02946683928451)
75,75,104,retail,commercial,5.9240194454456185,2.671400979391473,0.5942028985507246,25108222,1900-01-01 15:34:00,2,0,1,1,2,6,2,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.30226497256148 58.02946683928451)
76,76,108,industrial,residential,6.0067713156543325,2.617126073329448,0.6229221347331584,25130877,1900-01-01 14:13:00,2,0,1,0,1,6,4,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.29862505249621 58.01872560473897)
77,77,108,industrial,residential,6.0067713156543325,2.617126073329448,0.6229221347331584,25130877,1900-01-01 14:16:00,0,0,1,0,1,0,5,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.29862505249621 58.01872560473897)
78,78,788,retail,commercial,6.3732659008714245,3.0116637734855676,0.37884378843788435,25130920,1900-01-01 08:35:00,1,0,0,1,2,3,7,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.293801992737805 58.02086676461133)
79,79,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 11:49:00,0,0,1,1,2,0,3,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
80,80,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 12:39:00,0,0,1,1,2,0,4,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
81,81,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 08:03:00,0,1,0,1,2,1,2,"[{'purpose': 1}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
82,82,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 10:01:00,1,0,0,1,2,3,6,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
83,83,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 14:05:00,1,0,1,1,2,3,5,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
84,84,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 09:53:00,0,0,0,1,2,0,4,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
85,85,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 12:41:00,0,1,1,1,2,1,6,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
86,86,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 10:03:00,2,0,0,1,2,6,2,"[{'purpose': 1}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
87,87,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 08:53:00,0,0,0,1,2,0,5,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
88,88,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 10:28:00,0,0,0,1,2,0,7,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
89,89,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 17:17:00,0,1,1,1,2,1,4,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
90,90,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 14:25:00,1,0,1,1,2,3,2,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
91,91,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 16:43:00,0,0,1,1,2,0,7,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
92,92,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 12:33:00,0,0,1,1,2,0,8,"[{'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 1}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
93,93,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 09:09:00,0,1,0,1,2,1,4,"[{'purpose': 0}, {'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
94,94,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 12:35:00,0,0,1,1,2,0,3,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
95,95,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 11:13:00,0,1,1,1,2,1,2,"[{'purpose': 1}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
96,96,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 15:30:00,0,1,1,1,2,1,6,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
97,97,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 09:47:00,0,2,0,1,2,2,4,"[{'purpose': 1}, {'purpose': 0}, {'purpose': 0}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
98,98,250,retail,commercial,6.34965085631337,2.91498704752762,0.2973744292237443,26381559,1900-01-01 12:14:00,0,0,1,1,2,0,2,"[{'purpose': 1}, {'purpose': 1}, {'purpose': 2}]",POINT (56.233555769038205 58.00944365680366)
